Context,Question,Answer
"mission and vision
Below are the key milestones the team is working towards.  Baselined as at March 2023
Reference Information
File Storage =
Google Drive For Objective Files
Confluence
Improve Business Operations Minutes
JIRA Boards = Link to be added
Operating Model =
Confluence Home Page For IOG Operating Model
Slack Channel =
https://input-output-rnd.slack.com/archives/C05266AA5U1
The plan is mastered in Jira and is visible via the
Dashboard
.","What is the primary tool used for improving business operations and accessing the team's milestones, operating model, and Jira dashboard?","The primary tool used for improving business operations and accessing the team's milestones, operating model, and Jira dashboard is Confluence. Confluence is a collaboration platform that allows teams to create, share, and collaborate on content. It is used to store reference information, improve business operations minutes, and access the team's operating model. Additionally, Confluence is linked to Jira, which is used to manage the team's milestones and is visible via the Jira dashboard. Google Drive is also used for file storage for objective files. The Slack channel is used for communication and collaboration."
"Driver
@ mention the driver
Approver
@ approver
Contributors
@ contributors
Informed
@ stakeholders
Objective
Summarize the objective in 1-2 sentences
Due date
Type // to add a date
Key outcomes
List expected outcomes and success metrics
Status
/
/
Problem Statement
Describe the problem and its impact. Include the hypothesis that's driving your work (""We think X will do Y, and we'll know we've succeeded if Z"").
Scope
Must have:
Add your project's core requirements
Nice to have:
Add anything you want but don't strictly need
Not in scope:
Add anything you don't want to include
Timeline
Type /planner to create a visual roadmap and help your team stay on track. To edit workstreams or dates, select the placeholder below and tap the pencil icon.
Type /trello to add a card or board to this page or /jira to include a Jira issue, chart, or project.
Milestones and deadlines
Milestone
Owner
Deadline
Status
e.g., Finalize designs for v1
@ owner
Type // to add a date
Reference materials
Add links to relevant research and any other key documents","What is the objective, problem statement, and scope of this project, and what are the key outcomes and success metrics?","Objective: The objective of this project is to summarize the objective in 1-2 sentences.
        
        Problem Statement: The problem statement of this project is to describe the problem and its impact. Include the hypothesis that's driving your work (""We think X will do Y, and we'll know we've succeeded if Z"").
        
        Scope: The scope of this project includes the core requirements, anything you want but don't strictly need, and excludes anything you don't want to include.
        
        Key Outcomes and Success Metrics: The key outcomes and success metrics of this project are expected outcomes and success metrics."
"Attendees
Gerard Moroney
Tamara Haasen
Lawrence Clark
James Martin-Young
Samuel Field
Abbi Ogunlade
Carlos Vargas-Montero
Deck Presented
Actions and Notes from the meeting:
Statuses updated as of 2nd May 2023
Action
Owner
Due by
Status
Due to the overlap/dependencies between Operations and the work that Tamara/Carlos are doing, Carlos is to be included in all future meetings.
Ger
4 Apr
Done
Carlos to send workstream invitations to Ger and Lawrence
Carlos
7 Apr
Done
Confluence page for Operations and Improve Business Operations to be setup
LC
7 Apr
Done
PI Actions are improvement actions following a PI Event.  AO to review how the Flow Ofiice can improve the PI event to increase delivery
AO
27 Apr
Done
New dependency process is live and Tribes are following it.  More work is needed with the Shared Services to ensure they deliver back to the tribes.
Update 2nd May 2023
: shared services Shared Service deck review due by 15 May and meeting with Shared Services & tribes scheduled for the 19 May
AO
19 May
Done
Inter tribe and chapter dependency process is not clear.  LC to work with AO to clarify process
AO
21 Apr
Done
TH asked for clarity from GM/LC as to who, in the tribe leadership, is accountable for the structure of the tribe.   Doc to be discussed with Carlos.
eg the Head of Delivery or the full leadership team?
LC
21 Apr
Done
TH asked for clarity as to what the difference is between the VP of and General Manager roles.  Previous documentation was created on this.  LC to review and update then present to GM/TH.
Notes: to include a RACI model, VP = deliver over multiple tribes, GM = CEO of future company
LC
21 Apr
Done
TH has asked for clarity as to how Chaperts work today.   LC to find deck and discuss with Carlos.  Carlos to document how Chapters would work when tribes spinout.
Note: the Chapter lead of Cryptography, there are discussion underway to move this person into Midngiht.  However, should they remain in role, should they move to new role, should we backfill.  LC to work with Carlos to help provide guidance
Update 2nd May 2023:
In-backlog and de-prioritised
LC
21 Apr
Done
AO provide overview of how the Flow Office are improving the planning process.  AO to send PI Planning process/improvement to Carlos/Tamara.
Note: when a tribe spinsout, should they continue with PI Planning.  LC to provide guidance to Carlos
AO
19 May
Done
Carlos to setup meeting with Ger and Lawrence to bring them up to speed with the work Tamara/Carlos have underway in their workstream
CVM
21 Apr
Done
Tamara would like more clarity on the work being carried out by the Shared Servcies.  for example, Legal has become a key area all tribes are dependant on.  LC to collate list of know work in Jira and send to GM.  GM to discuss with TH
Update 2nd May 2023:
expanded for LC to look at the connection between Legal & Procurement in terms of ticket (task) transfers between the teams
LC
7 May
Done
LC to speak with Legal Operations to understand the Legal department current workload
LC
21 Apr
Done
In relation to the management of dependencies, the Heads of Delivery are not collaborating between tribes ensuring dependencies are managed/delivered/mitigated.  The Heads of Delivery should be made responsible for dependencies.
KPI’s should be introduced linked to end of year performance
The new VP of roles should be responsible for managing inter-tribe dependencies.
Update 2nd May 2023:
LC working with Abbi and new VP’s to setup appropriate meetings (SoS) to discuss and agree dependencies. LC shared cross tribe dependency & continue to monitor
LC
21 Apr
Done
Note: the Head of Delivery for Midnight should report into the CEO, and received support from Operations to ensure alignment to methodologies, policies and procedures.  Currently Marta reports into Romain.  LC to follow up on change
LC
28 Apr
Done
Note: TH updated all that RealFI will be created.  There is still a question as to what should be done with the Education DID tribe (MOE).  LC to discuss with Carlos, who will update Tamara
LC
7 Apr
Done
It has been agreed that the Education team will merge into the Ecosystem team.  LC to help achieve this.
Note: Tim is aware of this and Lars is in agreement with his change of reporting line into Tim.
Update 2nd May 2023:
GM to update the process document
GM
28 Apr
Done
It has been agreed that Events will merge in with Marketing.  A delivery person will be needed to support and they should report into Ger.  LC to support the migratoin
LC
28 Apr
Done
Note:
Benjamin Crepin
i would like to track these in Jira.  let's discuss the best way of doing this.","""What are the key action items and updates related to the roles, responsibilities, and dependencies among the Heads of Delivery, VP, General Manager, and the new VP roles, as well as the merging of teams and the introduction of KPIs for managing inter-tribe dependencies?""","Key action items and updates related to the roles, responsibilities, and dependencies among the Heads of Delivery, VP, General Manager, and the new VP roles, as well as the merging of teams and the introduction of KPIs for managing inter-tribe dependencies, include:

* Carlos is to be included in all future meetings due to the overlap/dependencies between Operations and the work that Tamara/Carlos are doing.
* Carlos is to send workstream invitations to Ger and Lawrence.
* A Confluence page for Operations and Improve Business Operations is to be setup.
* PI Actions are improvement actions following a PI Event. AO is to review how the Flow Office can improve the PI event to increase delivery.
* New dependency process is live and Tribes are following it. More work is needed with the Shared Services to ensure they deliver back to the tribes.
* TH asked for clarity from GM/LC as to who, in the tribe leadership, is accountable for the structure of the tribe. A document is to be discussed with Carlos.
* TH asked for clarity as to what the difference is between the VP of and General Manager roles. LC is to review and update then present to GM/TH.
* TH has asked for clarity as to how Chapters work today. LC is to find deck and discuss with Carlos. Carlos is to document how Chapters would work when tribes spinout.
* AO is to provide an overview of how the Flow Office are improving the planning process. AO is to send PI Planning process/improvement to Carlos/Tamara.
* Carlos is to setup a meeting with Ger and Lawrence to bring them up to speed with the work Tamara/Carlos have underway in their workstream.
* Tamara would like more clarity on the work being carried out by the Shared Services. LC is to collate a list of known work in Jira and send to GM. GM is to discuss with TH.
* LC is to speak with Legal Operations to understand the Legal department current workload.
* The Heads of Delivery are not collaborating between tribes ensuring dependencies are managed/delivered/mitigated. The Heads of Delivery should be made responsible for dependencies. KPIs should be introduced linked to end of year performance.
* The new VP of roles should be responsible for managing inter-tribe dependencies.
* LC is working with Abbi and new VP’s to setup appropriate meetings (SoS) to discuss and agree dependencies.
* The Education team will merge into the Ecosystem team. LC is to help achieve this.
* The Head of Delivery for Midnight should report into the CEO, and receive support from Operations to ensure alignment to methodologies, policies and procedures.
* Events will merge in with Marketing. A delivery person will be needed to support and they should report into Ger. LC is to support the migration.
* Benjamin Crepin would like to track these in Jira. A discussion is needed to determine the best way of doing this."
"mission and vision
Below are the key milestones the team is working towards.  Baselined as at March 2023
Reference Information
File Storage =
Google Drive For Objective Files
Confluence
Improve Business Operations Minutes
JIRA Boards = Link to be added
Operating Model =
Confluence Home Page For IOG Operating Model
Slack Channel =
https://input-output-rnd.slack.com/archives/C05266AA5U1
The plan is mastered in Jira and is visible via the
Dashboard
.","What is the primary tool used for improving business operations and accessing the team's milestones, operating model, and Jira dashboard?","The primary tool used for improving business operations and accessing the team's milestones, operating model, and Jira dashboard is Confluence. Confluence is a collaboration platform that allows teams to create, share, and collaborate on content. It is used to store reference information, improve business operations minutes, and access the team's operating model. Additionally, Confluence is linked to Jira, which is used to manage the team's milestones and is visible via the Jira dashboard. Google Drive is also used for file storage for objective files. The Slack channel is used for communication and collaboration."
"Attendees
Gerard Moroney
Tamara Haasen
Lawrence Clark
James Martin-Young
James Thornton
Abbi Ogunlade
Carlos Vargas-Montero
Edwin Iraheta
Giuseppe Pancione
Benjamin Crepin
Deck Presented
Actions and Notes from the Meeting:
Updated status as of 2nd May 2023
ID
Action
Owner
Due by
Status
1
Sam to present to Ger & Lawrence his progress on the various milestones.
Lawrence to book in the meeting for the 18th April.
Lawrence
18/04/2023
Done
✔
2
Ger to host a data analytics kick-off meeting on Friday with relevant stakeholders (including Sam Fields)
Gerard
21/04/2023
Done
✔
3
Lawrence to discuss the “product strategy & planning” with Dynal and how to structure it. LC to validate the approach and to discuss the various dependencies with Dynal, such as: TH on spinout decisions & Ops on PI decisions
Lawrence
21/04/2023
Done
✔
4
Ger & Tam to have a meeting this week to discuss Legal operations
Gerard
21/04/2023
Done ✔
5
GM & TH to have a meeting with Joel about Legal operations.
Update 2nd May 2023
: Mtg held but more is needed to support Legal, this will be discussed during the Colorado meeting w/c 15 May
Gerard
21/04/2023
Done
✔
6
New meeting to be arranged with Research to ensure they’re aware and trained on the new Operating Model, and potentially identify further training needs
Update 2nd May 2023
: Last week meeting was cancelled by Research so LC is trying to re-arrange a meeting  for this week.
Lawrence
21/04/2023
Done
✔
7
For Key Result 1 (
To continuously iterate & improve the Operating Model by capturing best practices, testing, and implementing improvements to suit the needs of IOG
) Abbi to put together key metrics. Draft to be presented to Lawrence by Friday.
Update 2nd May 2023
: slides were presented during the meeting on 2nd May 2023.
Abbi
21/04/2023
Done ✔
8
For Key Result 2 (
Implementation of the Operating Model (including PI Planning) to Midnight, Research Ecosystem , ICT & Cyber Security and Operations
):
Abbi to create a slide showing the timeline and process of the journey we’re currently in and when this will be done.
?
28/04/2023
Done
9
For Key Result 3 (
Measure compliance to process through a data driven metrics including a company wide maturity assessment.
): JMY & Lawrence to create a presentation for next week
JMY & Lawrence
28/04/2023
Done
10
For Key Result 5 (
improvement work packages for business improvement initiatives related to I.T, Education, Data analytics, Data architecture etc and execute improvements
): Showcase the Jira output per service
Lawrence
28/04/2023
Done
11
Need to gather consensus around the transition to a new Head of Delivery
Gerard
28/04/2023
Done
12
Create an agreement on the reporting lines for Midnight, especially for Martha at this stage to have a dotted reporting line to TH
Lawrence
28/04/2023
Done
13
Carlos to share the objective criteria (from the acceptance criteria) for the spin-outs
Carlos
28/04/2023
Done
14
TH highlighted that Tim has a good ecosystem strategy, but that he might need support from an Ops Person to help execute it. Resource request has been raised.
Update 2nd May 2023
: To be discussed w/c 15th May
Gerard
28/05/2023
Done
15
Agile draft maturity model, JMY to liaise with Can to discuss the best possible roll-out plan.
JMY
28/04/2023
Done
16
JH to work on the shared services agile maturity assessment and the various levels
JH
28/04/2023
Done
17
We need to educated tribes about engaging with Legal & Procurement earlier in the process
Update 2nd May 2023
:
LC to work with tribes and Legal on contract process. LC to bring Xavier Sanchez into the process
Success = aligned work items Proc/Legal
Lawrence
28/05/2023
Done
Note:
Benjamin Crepin
i would like to track these in Jira.  let's discuss the best way of doing this.","""What is the current status of the various action items assigned to the attendees, as of May 2nd, 2023, in relation to the updates on the operating model and the progress of the milestones?""","Action Item 1: Sam to present to Ger & Lawrence his progress on the various milestones. Status: Done.
        Action Item 2: Ger to host a data analytics kick-off meeting on Friday with relevant stakeholders (including Sam Fields). Status: Done.
        Action Item 3: Lawrence to discuss the “product strategy & planning” with Dynal and how to structure it. Status: Done.
        Action Item 4: Ger & Tam to have a meeting this week to discuss Legal operations. Status: Done.
        Action Item 5: GM & TH to have a meeting with Joel about Legal operations. Status: Done.
        Action Item 6: New meeting to be arranged with Research to ensure they’re aware and trained on the new Operating Model. Status: Done.
        Action Item 7: Abbi to put together key metrics for Key Result 1. Status: Done.
        Action Item 8: Abbi to create a slide showing the timeline and process of the journey we’re currently in for Key Result 2. Status: Done.
        Action Item 9: JMY & Lawrence to create a presentation for next week for Key Result 3. Status: Done.
        Action Item 10: Showcase the Jira output per service for Key Result 5. Status: Done.
        Action Item 11: Need to gather consensus around the transition to a new Head of Delivery. Status: Done.
        Action Item 12: Create an agreement on the reporting lines for Midnight, especially for Martha at this stage to have a dotted reporting line to TH. Status: Done.
        Action Item 13: Carlos to share the objective criteria (from the acceptance criteria) for the spin-outs. Status: Done.
        Action Item 14: TH highlighted that Tim has a good ecosystem strategy, but that he might need support from an Ops Person to help execute it. Status: To be discussed w/c 15th May.
        Action Item 15: Agile draft maturity model, JMY to liaise with Can to discuss the best possible roll-out plan. Status: Done.
        Action Item 16: JH to work on the shared services agile maturity assessment and the various levels. Status: Done.
        Action Item 17: Educate tribes about engaging with Legal & Procurement earlier in the process. Status: LC to work with tribes and Legal on contract process."
"Reference Information
ERS Executive Dashboard
=
Link
File Storage =
Google Drive For Objective Files
Confluence
Improve Business Operations Minutes
JIRA Boards =
https://input-output.atlassian.net/jira/software/c/projects/OKR/boards/1147?search=okr
Operating Model =
Confluence Home Page For IOG Operating Model
Slack Channel =
https://input-output-rnd.slack.com/archives/C05266AA5U1
The plan is mastered in Jira and is visible via the
Dashboard
.","How can the ERS Executive Dashboard be used to monitor the progress of the Improve Business Operations project, which has its plan mastered in Jira and its minutes recorded in Confluence?","To monitor the progress of the Improve Business Operations project using the ERS Executive Dashboard, follow these steps:

1. Access the ERS Executive Dashboard using the provided link.
2. Locate the ""JIRA Boards"" section on the dashboard.
3. Click on the link provided in the ""JIRA Boards"" section, which will take you to the Jira board for the OKR project.
4. Once in Jira, you can view the plan for the Improve Business Operations project and monitor its progress.
5. To view the minutes recorded for the Improve Business Operations project, navigate to Confluence using the provided link.
6. On the Confluence home page, locate the Improve Business Operations project page and view the recorded minutes.

By following these steps, you can effectively use the ERS Executive Dashboard to monitor the progress of the Improve Business Operations project, which is mastered in Jira and has its minutes recorded in Confluence."
"Decision Reference
Decision Title
Decision Type
/
/
Tribe
Squad
Status
/
/
Impact
/
/
Contributors
@
Submitted by
@
Date Submitted
19 May 2022
Due Date
19 May 2022
Approver
@
Outcome
Relevant data
Include any links to further information / documentation.
Exec Summary
Background
Options considered
Include any links to further information / documentation.
Option 1
Option 2
Description of options considered
Pros and Cons
Notes
Recommendation
Financial Data
Budget Allocated
Actual Spend to Date
Budget Amendment Amount
Current Forecasted Budget
New Forecasted Budget
Budget Variance
Yearly Breakdown
2022 -
2023 -
2024 -
2025 -
2026 -
Can this request be managed within the remaining budget?
Link to projection costs spreadsheet
Next Steps
Approved by Tribe
/
Approval Date by Tribe
19 May 2022
Decision Forum Required
/
/
/
/
Date Sent to Decision Forum
19 May 2022
Decision Owner
@
Action items
Add action items to close the loop on open questions or concerns.
Type your task here. Use ""@"" to assign a user and ""//"" to select a due date.
Outcome
Summarize the outcome.","""Given the budget variance and projected costs, how will the new forecasted budget for the upcoming years impact the current spending?""","The new forecasted budget for the upcoming years will increase the current spending due to the budget variance and projected costs. The budget variance is the difference between the actual spend to date and the budget allocated, which is currently negative. The projected costs are also higher than the budget allocated, further increasing the spending. The new forecasted budget attempts to account for these increases, but it is unclear by how much without referring to the linked projection costs spreadsheet. It is also unclear whether this request can be managed within the remaining budget. Therefore, the impact on current spending is likely to be significant, but the exact amount cannot be determined without additional information."
"<iframe title=""Portfolio Roadmap"" width=""1140"" height=""541.25"" src=""
https://app.powerbi.com/reportEmbed?reportId=b3ec8fe6-f1b8-475b-ba4b-81b4ce51a952&appId=73cc2a31-4860-4be1-b051-4d80fe41cd29&autoAuth=true&ctid=93fcf5dd-377a-4776-bcbe-e2231a8cf46e%22
frameborder=""0"" allowFullScreen=""true""></iframe>",What key performance indicators (KPIs) are visualized in the Portfolio Roadmap dashboard and what do they reveal about the project's progress?,"The Portfolio Roadmap dashboard visualizes several key performance indicators (KPIs) that provide insights into the project's progress. Here are the KPIs and their significance:

        1. **Project Status**: This KPI indicates the current state of each project, such as 'On Track', 'At Risk', or 'Off Track'. It helps stakeholders quickly understand the overall health of the project portfolio.

        2. **Start and End Dates**: The start and end dates for each project are visualized, providing a clear timeline for project delivery. Any delays or changes to these dates can be easily identified and addressed.

        3. **Progress Bars**: Progress bars show the completion status of each project. They reveal the percentage of work completed and the amount of work remaining, helping stakeholders assess the project's progress.

        4. **Planned vs. Actual**: This KPI compares the planned timeline with the actual progress of each project. Any discrepancies can indicate potential issues or delays, prompting further investigation.

        5. **Resource Allocation**: The dashboard may also visualize how resources are allocated across projects. This can help stakeholders identify any imbalances or bottlenecks and make necessary adjustments.

        6. **Risks and Issues**: The dashboard might include a section for visualizing risks and issues associated with each project. This can help stakeholders anticipate and mitigate potential problems.

        7. **Budget vs. Spend**: This KPI compares the planned budget with the actual spending for each project. It can reveal any cost overruns or underspends, helping stakeholders manage project finances effectively.

        These KPIs, when viewed together in the Portfolio Roadmap dashboard, provide a comprehensive view of the project's progress, enabling stakeholders to make informed decisions and take timely actions."
,In the context of,"Context:
        The 2016 Summer Olympics, officially known as the Games of the XXXI Olympiad, are a major international multi-sport event in the tradition of the Olympic Games, as governed by the International Olympic Committee (IOC). They are being held in Rio de Janeiro, Brazil, from 5 to 21 August 2016.

        In the context of, what are the Games of the XXXI Olympiad?

        The Games of the XXXI Olympiad are the 2016 Summer Olympics."
,In the context of,"Context:
        The 2016 Summer Olympics in Rio de Janeiro, Brazil, were the first games to feature two new sports: golf and rugby sevens. The games were held from August 5 to August 21, 2016. The United States topped the medal count with 121 total medals, including 46 golds. China finished second with 70 total medals, 26 of which were gold. Great Britain finished third with 67 total medals, 27 of which were gold.

        Question: In the context of which country topped the medal count at the 2016 Summer Olympics in Rio de Janeiro, Brazil?

        Answer: The United States topped the medal count at the 2016 Summer Olympics in Rio de Janeiro, Brazil with a total of 121 medals, including 46 golds."
